Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2020,1,1-2020,ASA,Deadloan,Unsecured Loan,8978012,823919780,2620366792
2020,11,11-2020,NDC,360-720,Credit card,17500000,2299345035,4343161703
2020,11,11-2020,DK,720-1080,Overdraft,129652016,1352398549,2615648950
2020,7,7-2020,HMK,180-360,Credit card,7000000,"363409789,5","517696983,2"
2020,10,10-2020,HNA,720-1080,Unsecured Loan,133428923,30469083692,65400131060
2020,12,12-2020,TDO,720-1080,HHB,0,13560764,29602027
2020,4,4-2020,DK,360-720,Unsecured Loan,37121328,30467239943,55157594756
2020,1,1-2020,GLX,180-360,Overdraft,2854481,2801692175,3507180768
2020,12,12-2020,NDC,720-1080,Overdraft,14162426,1824101827,3459037457
2020,5,5-2020,DK,180-360,Credit card,3300000,"113112653,7","137153140,1"
2020,5,5-2020,DK,180-360,Unsecured Loan,10957004,263924747,353578927
2020,9,9-2020,TDO,Deadloan,Secured Loan,701,73121718689,369379950992
2020,3,3-2020,NDC,Deadloan,Credit card,0,"794429325,1",3143637623
2020,2,2-2020,ASA,360-720,Overdraft,5331805,1321726401,1875494681
2020,10,10-2020,DK,360-720,Credit card,101999987,1579061490,2929976941
2020,9,9-2020,GLX,Deadloan,Credit card,3000000,"998687861,3",5315092802
2020,3,3-2020,ASA,180-360,Overdraft,3000000,115494004,141615526
2020,8,8-2020,TDO,360-720,Credit card,10000000,2820941902,5386598370
2020,8,8-2020,AMG,180-360,Credit card,3150000,"271543681,5","416083642,7"
2020,1,1-2020,HMK,180-360,Credit card,91460000,15171658142,21054987415
2020,3,3-2020,ASA,360-720,Credit card,28612000,8451566106,16499563521
2020,7,7-2020,TCG,1080+,Credit card,353350000,44775368281,205147434906
2020,8,8-2020,GLX,180-360,HHB,101543000,736066447,1001149926
2020,9,9-2020,NDC,Deadloan,Credit card,0,3607372840,9423667237
2020,11,11-2020,HMK,1080+,Secured Loan,26,369210291,1217424352
2020,6,6-2020,DK,1080+,Unsecured Loan,53928262,18095720052,50888635589
2020,4,4-2020,HNA,720-1080,Credit card,99349860,15511715872,35919932292
2020,1,1-2020,GLX,0-180,HHB,576294755,4054951664,4361606980
2020,3,3-2020,TDO,Deadloan,Secured Loan,0,2251761781,4424003306
2020,4,4-2020,DK,360-720,Credit card,5200000,6298330630,12887890711
2020,10,10-2020,HNA,720-1080,Credit card,174685000,8400138019,22252195877
2020,4,4-2020,NDC,Deadloan,Unsecured Loan,68000693,82005613733,715084920540
2020,8,8-2020,NDC,720-1080,Unsecured Loan,360188205,152872550101,315722650189
2020,11,11-2020,GLX,360-720,Overdraft,510504,217752536,310256507
2020,10,10-2020,TCG,0-180,Credit card,14581000,"325088827,5","396167254,7"
2020,10,10-2020,DK,180-360,Unsecured Loan,28,270976573,349632467
2020,5,5-2020,TDO,720-1080,Unsecured Loan,1726593,52434297617,110009216156
