Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2021,3,3-2021,GLX,0-180,Credit card,19.100.000 đ,410.515.495 đ,612.731.909 đ
2021,3,3-2021,DK,360-720,HHB,0,14479453260,28554511148
2021,3,3-2021,HMK,360-720,Secured Loan,0,14647327070,18995515110
2021,1,1-2021,BFC,180-360,Unsecured Loan,0,25487217,37066884
2021,4,4-2021,HMK,1080+,Secured Loan,0,33936264714,63663477561
2021,2,2-2021,GLX,0-180,Overdraft,0,58994856,68348385
2021,3,3-2021,TCG,Deadloan,,0,706205960,1512879405
2021,3,3-2021,TCG,Deadloan,HHB,950000,30311004219,60255638943
2021,1,1-2021,AMG,1080+,Unsecured Loan,"55744681,61",18744553838,90291147585
2021,5,5-2021,HMK,360-720,Unsecured Loan,179517229,63372113113,107942663369
2021,3,3-2021,HNA,720-1080,HHB,193340934,70027230701,164261435446
2021,5,5-2021,ASA,1080+,Secured Loan,7000000,32012378153,54301188078
2021,2,2-2021,FBI,Deadloan,Credit card,24000000,4047538735,24227560561
2021,1,1-2021,AMG,720-1080,Overdraft,42871,1132306080,2133986921
2021,1,1-2021,BFC,1080+,HHB,3166247,8802016340,30111052801
2021,3,3-2021,NDC,180-360,Overdraft,0,91188592,119086970
2021,1,1-2021,AMG,1080+,Unsecured Loan,77112747,97485874107,287146418401
2021,2,2-2021,NDC,Deadloan,HHB,0,"183702393,1","724288857,7"
2021,3,3-2021,TDO,720-1080,HHB,0,13891234178,32311988887
2021,5,5-2021,HMK,720-1080,Secured Loan,0,37308999193,53970531878
2021,4,4-2021,GLX,1080+,Secured Loan,0,31959167170,57548364541
2021,2,2-2021,DK,0-180,HHB,9756220,85421820,86486916
2021,4,4-2021,ASA,720-1080,HHB,382745277,147305204394,346255924475
2021,3,3-2021,FBI,0-180,Overdraft,0,0,0
2021,3,3-2021,DK,1080+,Unsecured Loan,322915441,122823017488,365622136253
2021,1,1-2021,TCG,1080+,Unsecured Loan,238611275,237600425242,693534547700
2021,1,1-2021,BFC,Deadloan,Secured Loan,0,165643053365,852189395006
2021,2,2-2021,TCG,720-1080,HHB,1500000,84280806190,198449771056
2021,3,3-2021,BFC,Deadloan,Credit card,0,1880048032,11237222273
2021,2,2-2021,NDC,1080+,Overdraft,0,3192468903,7282828748
2021,3,3-2021,ASA,1080+,Unsecured Loan,747509938,377322628549,1108581795850
2021,2,2-2021,NDC,1080+,Secured Loan,0,17382914713,30632204519
2021,1,1-2021,TCG,180-360,Unsecured Loan,10332000,3485860977,4513990751
2021,3,3-2021,HMK,1080+,Other,0,241300000,593990301
2021,2,2-2021,TDO,180-360,Unsecured Loan,0,27653307,32623086
2021,5,5-2021,TDO,1080+,Overdraft,0,501368232,1289932161
2021,5,5-2021,BFC,Deadloan,Other,0,200000000,3172409116
2021,3,3-2021,TDO,0-180,Overdraft,0,0,0
2021,2,2-2021,DK,360-720,HHB,0,18468777051,36568466055
2021,4,4-2021,ASA,360-720,HHB,258339346,49035777289,94285514544
2021,2,2-2021,TCG,Deadloan,HHB,0,706205964,1482579095
2021,2,2-2021,GLX,720-1080,Credit card,"240246144,1",50369956580,131177239084
2021,4,4-2021,BFC,360-720,Overdraft,0,25311320,37520192
2021,4,4-2021,TCG,1080+,Overdraft,0,3505282858,8057999350
2021,2,2-2021,FBI,Deadloan,Overdraft,0,8899078967,69746188468
2021,1,1-2021,ASA,180-360,Overdraft,14046775,52994049,65110847
2021,1,1-2021,HNA,1080+,HHB,26200824,55222513704,187459866264
2021,2,2-2021,TDO,360-720,HHB,0,4909930556,9846346797
2021,1,1-2021,HNA,720-1080,Overdraft,9600,2580244653,4723862303
2021,2,2-2021,ASA,1080+,HHB,50612319,76710353352,239652996637
2021,3,3-2021,NDC,0-180,Overdraft,0,0,0
2021,5,5-2021,HMK,1080+,HHB,63004101,114268370623,391299848060
2021,3,3-2021,GLX,180-360,HHB,23328000,1509457504,2159118460
2021,4,4-2021,GLX,0-180,Credit card,8142979,"366231575,7","558736077,5"
2021,3,3-2021,NDC,Deadloan,Overdraft,0,5780965061,54529452891
2021,2,2-2021,DK,360-720,Unsecured Loan,138988762,12172510754,21576905525
2021,1,1-2021,ASA,360-720,Credit card,"274833229,8",21937789578,44828272663
2021,1,1-2021,NDC,Deadloan,Unsecured Loan,0,36988660725,76257449048
2021,3,3-2021,TCG,180-360,HHB,0,1823039491,2561139567
2021,4,4-2021,GLX,Deadloan,Credit card,10000000,4142849024,9502435618
2021,1,1-2021,GLX,720-1080,Unsecured Loan,61841267,170879758628,364796730822
2021,4,4-2021,FBI,Deadloan,Secured Loan,1349686,109076551578,736900905033
2021,5,5-2021,NDC,720-1080,Unsecured Loan,348071310,161195589858,339098980634
2021,5,5-2021,HMK,720-1080,Overdraft,1100000,4433894290,8804478429
2021,1,1-2021,FBI,360-720,HHB,22600060,6798912500,13447991490
2021,2,2-2021,BFC,180-360,Credit card,0,"6993804,58","10989639,06"
2021,1,1-2021,DK,360-720,HHB,7630000,18840184653,36923526866
2021,1,1-2021,NDC,180-360,Credit card,10000000,1508903439,2261253429
2021,4,4-2021,DK,Deadloan,Secured Loan,0,1140000000,2594666398
2021,2,2-2021,BFC,1080+,Overdraft,0,80843155,198630705
2021,5,5-2021,GLX,1080+,Secured Loan,0,35401487770,63685744840
2021,5,5-2021,TCG,1080+,Unsecured Loan,590808855,321584365536,940333173439
2021,3,3-2021,AMG,0-180,Credit card,2580000,"81120633,61",147033125
2021,2,2-2021,FBI,360-720,Unsecured Loan,0,3252774942,5807612785
2021,4,4-2021,NDC,180-360,Unsecured Loan,3587942,4084353181,5302554489
2021,2,2-2021,HNA,180-360,Secured Loan,0,140882047,153212129
2021,5,5-2021,HMK,Deadloan,Secured Loan,0,1517724000,2797090143
2021,4,4-2021,NDC,720-1080,HHB,79804988,116021088207,272227406478
2021,4,4-2021,HMK,180-360,Overdraft,0,83260127,110110507
2021,2,2-2021,TCG,1080+,Credit card,"223564514,5",49969745480,231908909863
2021,4,4-2021,TCG,0-180,Credit card,3000000,"220609876,1","328576692,8"
2021,1,1-2021,GLX,180-360,Credit card,0,2480062977,3614383804
2021,4,4-2021,DK,1080+,Credit card,"313171926,8",26741024337,137158829018
2021,1,1-2021,DK,1080+,Unsecured Loan,172848830,99371478882,294299798006
2021,5,5-2021,TDO,720-1080,Credit card,0,5311129260,14424785877
2021,4,4-2021,TCG,720-1080,Credit card,"54954080,63",39964517729,106355331250
2021,4,4-2021,GLX,180-360,Unsecured Loan,2699906,3008013458,3909866082
2021,3,3-2021,HMK,720-1080,Secured Loan,0,23524007904,33986753837
2021,3,3-2021,AMG,360-720,Overdraft,500000,921432757,1538291343
2021,2,2-2021,TDO,Deadloan,Unsecured Loan,0,9671352314,29374423645
2021,1,1-2021,TDO,Deadloan,Overdraft,0,5795020529,49367223923
2021,2,2-2021,GLX,360-720,Overdraft,20000,2525735423,4327693590
2021,4,4-2021,ASA,0-180,Secured Loan,5500000,109383189,118888359
2021,4,4-2021,HMK,720-1080,Overdraft,38950000,3931324242,7840332778
2021,1,1-2021,NDC,180-360,Overdraft,0,127402781,163027171
2021,5,5-2021,AMG,360-720,Unsecured Loan,4300345,8583616499,14964907411
2021,4,4-2021,TDO,720-1080,Credit card,0,5541331061,14883352748
2021,3,3-2021,GLX,Deadloan,Credit card,0,4142849024,9261953172
2021,4,4-2021,GLX,720-1080,Overdraft,5442000,5009618168,9834407035
2021,4,4-2021,HMK,1080+,Credit card,"571204245,4",71108659747,338167992169
2021,2,2-2021,HMK,1080+,Secured Loan,0,16712221337,29472974801
2021,1,1-2021,ASA,1080+,Unsecured Loan,707730716,320193093133,944656100094
2021,3,3-2021,TCG,720-1080,Credit card,"167383745,2",39418380903,104118340701
2021,4,4-2021,TCG,360-720,Credit card,"66711493,38",29887015921,61238691711
2021,5,5-2021,FBI,180-360,Unsecured Loan,0,82147727,104094975
2021,1,1-2021,TCG,Deadloan,Unsecured Loan,10300000,30311004379,58504722568
2021,4,4-2021,HMK,720-1080,Unsecured Loan,336895952,158346163869,335481525438
2021,5,5-2021,AMG,1080+,Secured Loan,0,6614398517,11603145394
2021,5,5-2021,TDO,360-720,Credit card,0,451854502,"912203608,3"
2021,4,4-2021,BFC,0-180,Credit card,0,"9881287,49","27711828,29"
2021,3,3-2021,NDC,720-1080,Secured Loan,0,21083430418,30626802308
2021,4,4-2021,ASA,720-1080,Unsecured Loan,492502976,202477504886,427344947922
2021,5,5-2021,AMG,1080+,Overdraft,0,1632613783,3913483409
2021,5,5-2021,AMG,720-1080,Secured Loan,0,1099829714,1618879747
2021,3,3-2021,AMG,0-180,Overdraft,0,0,0
2021,1,1-2021,GLX,180-360,HHB,20673151,1754641437,2504894610
2021,3,3-2021,DK,1080+,Credit card,"786430953,7",25841031129,129583258615
2021,4,4-2021,ASA,Deadloan,Credit card,0,180765601,"886692806,5"
2021,1,1-2021,TDO,1080+,Unsecured Loan,0,35098437578,104594933916
2021,3,3-2021,NDC,1080+,Overdraft,51807536,3178831402,7355562138
2021,4,4-2021,DK,180-360,HHB,0,78155562,116644475
2021,5,5-2021,GLX,1080+,Overdraft,101890011,7401229552,18128318766
2021,5,5-2021,TCG,1080+,Overdraft,0,3773564761,8752951347
2021,5,5-2021,FBI,Deadloan,Other,0,91437417,1631444578
2021,1,1-2021,TCG,180-360,HHB,0,2608171030,3580801796
2021,5,5-2021,TCG,180-360,Overdraft,0,83724620,108841748
2021,4,4-2021,AMG,0-180,Unsecured Loan,2800000,54088972,57893070
2021,4,4-2021,HMK,0-180,Credit card,"14776803,64","167118597,3","277210852,7"
2021,2,2-2021,FBI,720-1080,Credit card,0,4661661961,12370432978
2021,2,2-2021,ASA,Deadloan,Secured Loan,0,2206293076,5241179899
2021,4,4-2021,ASA,0-180,Overdraft,13010,49227541,56666902
2021,1,1-2021,DK,1080+,Overdraft,0,890611083,2071463418
2021,5,5-2021,HMK,0-180,HHB,2669000,192829002,225166792
2021,1,1-2021,AMG,720-1080,Credit card,"25791697,96",14873463141,38336622754
2021,4,4-2021,HMK,720-1080,Secured Loan,0,33520877381,48455424820
2021,4,4-2021,TCG,360-720,Overdraft,0,2071055957,3365397902
2021,1,1-2021,FBI,1080+,Unsecured Loan,1000000,33722039335,100532923268
2021,1,1-2021,HMK,1080+,HHB,8500000,87621200186,293987782867
2021,4,4-2021,GLX,Deadloan,Other,0,695300000,1633350954
2021,2,2-2021,NDC,0-180,Unsecured Loan,16561317,158998694,167795262
2021,5,5-2021,GLX,360-720,Unsecured Loan,116831382,64225531734,109018221515
2021,2,2-2021,AMG,180-360,HHB,0,62806457,89381948
2021,5,5-2021,HNA,360-720,Credit card,"44235609,6",33040462539,67666461019
2021,1,1-2021,AMG,360-720,HHB,3667777,19567961658,38316125319
2021,4,4-2021,TCG,720-1080,Secured Loan,0,26641766753,38201058222
2021,4,4-2021,HNA,1080+,Secured Loan,9989030,38622978183,70474017772
2021,1,1-2021,TCG,1080+,HHB,0,68303797923,228183450089
2021,1,1-2021,ASA,0-180,HHB,10100091,102663764,108711799
2021,3,3-2021,HNA,360-720,Secured Loan,0,10894478065,13968217246
2021,5,5-2021,DK,720-1080,HHB,129322000,55243192019,128768553018
2021,3,3-2021,HMK,720-1080,HHB,30894387,114636569065,267569426781
2021,2,2-2021,HMK,0-180,Overdraft,0,15960938,18399026
2021,2,2-2021,AMG,1080+,HHB,3000000,34926105954,117518882436
2021,4,4-2021,HNA,180-360,Secured Loan,0,378375160,431915712
2021,2,2-2021,TDO,1080+,HHB,0,10315666558,35665434247
2021,3,3-2021,BFC,Deadloan,Unsecured Loan,0,5287008398,12655417488
2021,5,5-2021,TCG,0-180,HHB,3426525,140877627,174014944
2021,5,5-2021,HMK,180-360,Overdraft,0,71744406,95580860
2021,3,3-2021,TDO,1080+,Credit card,"5394622,65",7998007635,39171280106
2021,1,1-2021,TDO,720-1080,HHB,0,12489935559,29029354336
2021,1,1-2021,GLX,1080+,Credit card,"586365522,4",58998486471,271360517563
2021,3,3-2021,BFC,1080+,HHB,0,2888244477,9900760936
2021,3,3-2021,DK,360-720,Secured Loan,20000000,447038678,574316665
2021,3,3-2021,ASA,1080+,Secured Loan,7000000,26046693727,44072115395
2021,4,4-2021,GLX,1080+,Unsecured Loan,315561778,376875564677,1081246839944
2021,3,3-2021,TCG,Deadloan,Secured Loan,5450023,135884719675,575223041783
2021,2,2-2021,ASA,180-360,Unsecured Loan,8144930,2498112584,3367517326
2021,5,5-2021,ASA,1080+,Credit card,"111043104,6",79705557626,398827136830
2021,3,3-2021,FBI,Deadloan,Unsecured Loan,0,11727347708,37415521060
2021,4,4-2021,NDC,1080+,Unsecured Loan,1658418866,357703482958,1061404835239
2021,1,1-2021,HNA,180-360,Unsecured Loan,9234000,3452686518,4499475586
2021,5,5-2021,ASA,180-360,Credit card,10500000,1974712884,3062074126
2021,1,1-2021,NDC,1080+,Credit card,"165083630,3",59906529561,279158783404
2021,5,5-2021,GLX,0-180,HHB,7655192,98559422,120229518
2021,5,5-2021,GLX,720-1080,HHB,458118198,140239109973,329526939245
2021,4,4-2021,HNA,1080+,Credit card,"145578838,5",45339850523,226516814832
2021,2,2-2021,HNA,720-1080,HHB,73400000,62779247838,148207981053
2021,1,1-2021,HNA,1080+,Unsecured Loan,204685868,190477783484,561147208641
2021,1,1-2021,DK,1080+,Secured Loan,0,100971022,278381307
2021,3,3-2021,HMK,0-180,Secured Loan,7093689,385164015,397339454
2021,2,2-2021,HNA,1080+,Secured Loan,9978003,33851781969,60998287805
2021,4,4-2021,FBI,Deadloan,Other,0,0,1394266371
2021,5,5-2021,HNA,360-720,Overdraft,2000000,2004956718,3201316176
2021,5,5-2021,GLX,Deadloan,HHB,0,0,113335239
2021,5,5-2021,NDC,Deadloan,Credit card,2010000,7897810453,21836203276
2021,3,3-2021,TCG,1080+,Overdraft,700000,3362963578,7693651006
2021,4,4-2021,FBI,180-360,Credit card,0,3116173,"6124562,99"
2021,1,1-2021,TDO,360-720,HHB,1000000,5744652289,11323410491
2021,4,4-2021,NDC,Deadloan,Overdraft,0,5780965061,54825439810
2021,4,4-2021,BFC,0-180,Overdraft,0,0,0
2021,2,2-2021,FBI,Deadloan,Unsecured Loan,0,11727347712,36961148370
2021,5,5-2021,ASA,1080+,Overdraft,32050826,4385821489,9926400983
2021,5,5-2021,TDO,Deadloan,Secured Loan,3050000,145506036123,1032101616605
2021,2,2-2021,TCG,360-720,Overdraft,0,1867768187,3114911944
2021,3,3-2021,GLX,720-1080,Credit card,"154779265,2",50497549328,132668658465
2021,2,2-2021,ASA,360-720,HHB,133525732,69141149959,136282280375
2021,1,1-2021,ASA,360-720,Overdraft,51310075,3078256801,5086580325
2021,3,3-2021,TCG,180-360,Overdraft,0,51232438,65808683
2021,4,4-2021,DK,360-720,Secured Loan,0,447038678,581057407
2021,3,3-2021,DK,1080+,Overdraft,0,997008672,2326938063
2021,2,2-2021,HNA,1080+,Unsecured Loan,56174857,212935004250,621158409904
2021,3,3-2021,FBI,0-180,Unsecured Loan,0,35750460,41155564
2021,3,3-2021,TDO,360-720,Overdraft,0,164045519,285108793
2021,3,3-2021,FBI,Deadloan,Other,0,0,1387002959
2021,4,4-2021,AMG,0-180,Overdraft,0,0,0
2021,3,3-2021,ASA,1080+,HHB,306526507,82044526469,258850740724
2021,5,5-2021,NDC,360-720,HHB,207356956,45555820774,87577522406
2021,1,1-2021,BFC,720-1080,Overdraft,0,517986644,918057297
2021,5,5-2021,HMK,1080+,Overdraft,145784375,3835992394,9111012410
2021,3,3-2021,GLX,Deadloan,HHB,0,0,112438497
2021,5,5-2021,HNA,0-180,Unsecured Loan,4581740,131598533,151888486
2021,1,1-2021,HMK,180-360,HHB,44300658,2321065982,3190871120
2021,4,4-2021,FBI,0-180,Credit card,0,0,0
2021,4,4-2021,GLX,0-180,Unsecured Loan,34594486,313289158,350035732
2021,3,3-2021,ASA,360-720,HHB,539698890,57196965287,111130822321
2021,3,3-2021,DK,180-360,Credit card,0,"151441613,6","231796252,9"
2021,1,1-2021,TCG,360-720,HHB,22665690,49376332643,96240544045
2021,3,3-2021,DK,720-1080,Overdraft,5000000,1249651338,2356543539
2021,2,2-2021,HMK,Deadloan,Credit card,0,"22933411,18","220453761,8"
2021,1,1-2021,NDC,Deadloan,Credit card,12650000,7940474965,19560986850
2021,2,2-2021,HNA,720-1080,Credit card,116641454,30329030641,79591930569
2021,5,5-2021,NDC,720-1080,Credit card,"291205355,6",50570533526,135125766147
2021,1,1-2021,GLX,720-1080,Credit card,"22289670,26",48115401036,124776916972
2021,5,5-2021,TDO,360-720,Overdraft,0,23964889,36723271
2021,2,2-2021,DK,360-720,Credit card,"99258023,25",6448808549,13312573952
2021,1,1-2021,TDO,Deadloan,Secured Loan,9009004,125404988199,925600457719
2021,3,3-2021,NDC,360-720,HHB,59567819,50086762447,97052458601
2021,3,3-2021,HNA,720-1080,Unsecured Loan,103000000,100627506468,210958084184
2021,1,1-2021,DK,180-360,Unsecured Loan,0,120013936,156652480
2021,4,4-2021,NDC,0-180,HHB,2264398,52937394,56249707
2021,4,4-2021,HMK,1080+,Overdraft,11822000,3815224714,9024814462
2021,1,1-2021,HMK,360-720,HHB,20539604,63629723144,124344361382
2021,1,1-2021,HMK,Deadloan,Credit card,0,"22933411,18","212881705,3"
2021,1,1-2021,BFC,1080+,Credit card,41900000,6102089555,27355070518
2021,5,5-2021,BFC,Deadloan,Overdraft,0,18573475318,92006815099
2021,1,1-2021,NDC,Deadloan,Secured Loan,68866633,129581857463,566169179617
2021,4,4-2021,ASA,360-720,Secured Loan,20507000,13275310575,17292050621
2021,5,5-2021,TDO,0-180,Credit card,2215327,"42091206,06","42091206,06"
2021,1,1-2021,ASA,180-360,HHB,36557527,2423457679,3353568152
2021,5,5-2021,GLX,180-360,Secured Loan,0,43663026,48448598
2021,5,5-2021,ASA,Deadloan,Unsecured Loan,0,328422790,1033656987
2021,4,4-2021,BFC,1080+,Unsecured Loan,0,21588522490,61050770065
2021,5,5-2021,FBI,360-720,Credit card,26000000,"502891687,6",1070331447
2021,4,4-2021,FBI,360-720,Overdraft,0,86631933,138251239
2021,5,5-2021,BFC,720-1080,HHB,0,5608354995,12838892958
2021,1,1-2021,TCG,720-1080,Unsecured Loan,165078114,129358874681,276602515578
2021,4,4-2021,DK,180-360,Credit card,12500000,"392285991,9","602831540,9"
2021,4,4-2021,HMK,Deadloan,Unsecured Loan,2028002,7337088,7401179
2021,2,2-2021,TDO,720-1080,Unsecured Loan,450000,16758904365,35941938486
2021,1,1-2021,TCG,0-180,Unsecured Loan,35690776,49359924,67039333
2021,2,2-2021,GLX,180-360,Overdraft,0,50209630,64159697
2021,3,3-2021,AMG,720-1080,Credit card,"92474306,97",16257597938,43202992767
2021,2,2-2021,ASA,Deadloan,Credit card,0,180765601,"840587695,9"
2021,5,5-2021,FBI,1080+,HHB,12200417,12992040694,44720270711
2021,5,5-2021,TCG,360-720,HHB,4071000,47329654119,90691702577
2021,2,2-2021,NDC,0-180,Credit card,"57889442,18","566878283,2",757354378
2021,3,3-2021,AMG,720-1080,Overdraft,0,2165758443,4064726453
2021,2,2-2021,HMK,720-1080,HHB,7105408,100550124250,236999565587
2021,4,4-2021,TDO,1080+,HHB,21535212,11904694529,41469850925
2021,3,3-2021,HNA,0-180,Secured Loan,6892895,387032816,421282240
2021,5,5-2021,HMK,180-360,HHB,5000000,1437964661,2134201019
2021,1,1-2021,HMK,180-360,Unsecured Loan,4728006,3884341695,5015470592
2021,4,4-2021,ASA,720-1080,Secured Loan,0,21056501351,30341739445
2021,5,5-2021,FBI,0-180,Credit card,0,0,0
2021,3,3-2021,FBI,1080+,Overdraft,0,295985825,657288474
2021,5,5-2021,BFC,360-720,HHB,0,26159056,58334523
2021,5,5-2021,GLX,Deadloan,Overdraft,0,817181292,4724215197
2021,1,1-2021,HMK,1080+,Unsecured Loan,175138369,306024895332,878850868448
2021,1,1-2021,TCG,360-720,Unsecured Loan,17297962,37940313748,66550437866
2021,2,2-2021,FBI,720-1080,Unsecured Loan,4245009,16864094698,36586108435
2021,3,3-2021,AMG,1080+,HHB,4000000,37764584957,127389374470
2021,5,5-2021,HMK,360-720,Overdraft,78885751,2284441163,3641205399
2021,2,2-2021,NDC,360-720,Overdraft,4082400,2317596315,3848648469
2021,3,3-2021,TCG,1080+,HHB,1731254,81531832276,273923600426
2021,2,2-2021,AMG,360-720,Credit card,2500000,5573979123,11817042657
2021,1,1-2021,BFC,Deadloan,Unsecured Loan,0,7806109102,18687696634
2021,5,5-2021,TDO,0-180,Overdraft,0,0,0
2021,1,1-2021,ASA,720-1080,Overdraft,16279481,4658034823,8713797655
2021,4,4-2021,BFC,720-1080,Credit card,"3908357,85",3316093135,8473496417
2021,3,3-2021,HNA,0-180,Unsecured Loan,11637253,234417929,273581118
2021,2,2-2021,HNA,360-720,Unsecured Loan,31062580,36740168962,63084141065
2021,5,5-2021,FBI,180-360,HHB,0,32827004,40897290
2021,3,3-2021,AMG,180-360,HHB,0,283464315,394723776
2021,2,2-2021,GLX,Deadloan,Secured Loan,0,54647971728,220011791175
2021,2,2-2021,DK,720-1080,Unsecured Loan,243800000,54589018569,115556304913
2021,5,5-2021,AMG,1080+,Unsecured Loan,149057011,126840393006,384584291056
2021,2,2-2021,HMK,360-720,Secured Loan,0,10390471765,13488435878
2021,1,1-2021,ASA,720-1080,Credit card,"234821302,7",55454876952,144622574007
2021,4,4-2021,ASA,0-180,Unsecured Loan,16016377,399095184,444809674
2021,5,5-2021,FBI,720-1080,Overdraft,1648000,518258660,1036471715
2021,1,1-2021,TCG,Deadloan,HHB,0,706205968,1452398030
2021,1,1-2021,FBI,Deadloan,Overdraft,0,8899078967,65785051492
2021,5,5-2021,HMK,360-720,Credit card,118779868,36056043247,73099925350
2021,1,1-2021,ASA,1080+,HHB,142164602,70742391701,218822835207
2021,4,4-2021,GLX,360-720,Unsecured Loan,219409880,56893091159,97178985314
2021,5,5-2021,TCG,0-180,Credit card,1000000,"225008642,8","339240228,1"
2021,5,5-2021,AMG,0-180,Unsecured Loan,0,47088501,51601212
2021,2,2-2021,HNA,360-720,Secured Loan,0,9209573006,12116938309
2021,5,5-2021,DK,180-360,Credit card,"700231,34","697294600,4",1012551502
2021,4,4-2021,DK,360-720,Credit card,"74620422,1",7278637277,14772068212
2021,1,1-2021,ASA,Deadloan,Secured Loan,0,0,513219449
2021,2,2-2021,BFC,1080+,Credit card,500000,3180956019,13846612243
2021,3,3-2021,NDC,0-180,Credit card,"266753027,1","223602107,1",359976763
2021,2,2-2021,AMG,0-180,Credit card,"3402848,56","59061542,86","115125504,3"
2021,5,5-2021,ASA,720-1080,Secured Loan,105336891,21322367869,30619518192
2021,2,2-2021,AMG,720-1080,Credit card,"12211378,51",15905515740,42197640384
2021,4,4-2021,FBI,360-720,Credit card,0,"784085840,7",1657114246
2021,3,3-2021,ASA,360-720,Secured Loan,53589000,14219348286,18341641494
2021,5,5-2021,BFC,1080+,Unsecured Loan,18354732,22886374243,65158779221
2021,2,2-2021,GLX,1080+,HHB,18010000,96034883418,322605626548
2021,4,4-2021,AMG,1080+,HHB,17700000,40201282224,136305266981
2021,1,1-2021,BFC,1080+,Overdraft,0,108545710,251138521
2021,3,3-2021,BFC,720-1080,Credit card,"2170982,5",3469655066,8828106672
2021,5,5-2021,DK,1080+,Credit card,"103012900,8",27906958717,144880919207
2021,4,4-2021,NDC,360-720,HHB,135689616,45610149914,87639742617
2021,3,3-2021,DK,720-1080,Unsecured Loan,175377220,53027304445,112183089390
2021,5,5-2021,ASA,720-1080,Unsecured Loan,825231648,203237423120,428027135040
2021,5,5-2021,DK,720-1080,Overdraft,0,1318945899,2529542301
2021,2,2-2021,TCG,720-1080,Secured Loan,0,19094101588,27462759884
2021,4,4-2021,HNA,720-1080,Unsecured Loan,49602195,100043813900,209678272427
2021,3,3-2021,AMG,360-720,HHB,9500000,12957700545,25541771964
2021,3,3-2021,HNA,180-360,Secured Loan,0,519257207,581354488
2021,2,2-2021,GLX,180-360,HHB,0,1272547529,1830360315
2021,4,4-2021,FBI,0-180,Overdraft,0,0,0
2021,1,1-2021,DK,360-720,Unsecured Loan,11000041,13758190711,24266742900
2021,5,5-2021,FBI,Deadloan,Secured Loan,50316,118573913099,770314999689
2021,2,2-2021,NDC,180-360,HHB,0,2214753779,3109470739
2021,4,4-2021,AMG,180-360,HHB,0,733125880,961568208
2021,3,3-2021,BFC,0-180,Credit card,0,"9881287,49","26618917,96"
2021,4,4-2021,GLX,360-720,HHB,84205164,45729954198,88122652257
2021,2,2-2021,DK,1080+,Unsecured Loan,49146872,117455967770,346682194281
2021,4,4-2021,HNA,0-180,Unsecured Loan,9581740,180889842,213317163
2021,2,2-2021,DK,180-360,Unsecured Loan,0,106810632,139211973
2021,4,4-2021,BFC,360-720,Credit card,0,"309921094,6",649940950
2021,5,5-2021,BFC,720-1080,Overdraft,0,404688650,758471902
2021,2,2-2021,NDC,1080+,HHB,138852682,89639020748,299066726415
2021,2,2-2021,ASA,720-1080,Credit card,"216991129,4",56681017425,148576699107
2021,1,1-2021,HNA,720-1080,Credit card,"81565637,34",29226905774,76386702147
2021,5,5-2021,GLX,180-360,Unsecured Loan,5537906,3462578235,4435838188
2021,3,3-2021,NDC,720-1080,Credit card,1137588522,45345316955,119970525026
2021,5,5-2021,ASA,0-180,Unsecured Loan,25259519,219918148,234009923
2021,4,4-2021,HMK,Deadloan,Secured Loan,0,1517724000,2769164305
2021,1,1-2021,NDC,1080+,Overdraft,1950000,2882025936,6597662092
2021,2,2-2021,NDC,Deadloan,Secured Loan,13392883,129581857079,570015861879
2021,5,5-2021,FBI,180-360,Credit card,0,3116173,"6305178,87"
2021,4,4-2021,NDC,Deadloan,Other,0,4369865368,20184127215
2021,5,5-2021,TDO,1080+,Secured Loan,0,56701097,245266477
2021,4,4-2021,AMG,360-720,Overdraft,0,844766946,1359096797
2021,1,1-2021,TCG,Deadloan,Credit card,0,7357059388,20021229661
2021,1,1-2021,AMG,720-1080,Unsecured Loan,13388768,52374691583,111531982082
2021,3,3-2021,GLX,Deadloan,Unsecured Loan,2000000,23712256962,50435352365
2021,1,1-2021,GLX,0-180,Overdraft,0,58994856,66902741
2021,3,3-2021,TCG,720-1080,Unsecured Loan,135877581,134074389074,283764579297
2021,2,2-2021,ASA,0-180,HHB,32897909,308777720,318646158
2021,4,4-2021,TDO,720-1080,Unsecured Loan,11550548,14701878398,31511372379
2021,4,4-2021,NDC,720-1080,Overdraft,62229544,5371382928,10126949383
2021,4,4-2021,TCG,1080+,Secured Loan,0,44353884054,76951408705
2021,1,1-2021,HMK,720-1080,Credit card,"74372308,71",45260797177,119154395575
2021,3,3-2021,TCG,0-180,Credit card,1700000,"217141388,1","301661578,9"
2021,2,2-2021,TDO,Deadloan,Credit card,0,4205828556,26144331780
2021,4,4-2021,AMG,0-180,Credit card,11765000,"86139288,03","155370661,1"
2021,4,4-2021,HMK,0-180,Unsecured Loan,17259828,136433630,159499103
2021,4,4-2021,TDO,0-180,Credit card,2268087,"43093644,87","43093644,87"
2021,3,3-2021,HMK,180-360,Secured Loan,0,266230000,304768680
2021,3,3-2021,DK,Deadloan,Secured Loan,0,1140000000,2569220837
2021,3,3-2021,FBI,1080+,Secured Loan,0,84627065,304887926
2021,3,3-2021,DK,720-1080,Secured Loan,0,3365219121,4847907217
2021,2,2-2021,TDO,1080+,Credit card,1500000,7403844720,36288326479
2021,5,5-2021,NDC,720-1080,HHB,192323491,131007552752,307611369317
2021,5,5-2021,DK,720-1080,Credit card,"202236524,5",19870927283,53192812027
2021,2,2-2021,HMK,0-180,Secured Loan,10910385,389667015,400116105
